seq	start	end	product	substrate	composite	gc	result
NC_063025.1	0	1000	2.64	0.11	2.53	39.7	RIP_affected
NC_063025.1	500	1500	2.19	0.09	2.1	37.6	RIP_affected
NC_063025.1	1000	2000	2.01	0.07	1.94	40.1	RIP_affected
NC_063025.1	1500	2500	2.08	0.04	2.04	40.2	RIP_affected
NC_063025.1	2000	3000	2.21	0.09	2.11	41.4	RIP_affected
NC_063025.1	2500	3500	2.27	0.2	2.07	45.0	RIP_affected
NC_063025.1	3000	4000	2.0	0.23	1.77	43.3	RIP_affected
NC_063025.1	3500	4500	1.85	0.21	1.65	43.2	RIP_affected
NC_063025.1	4000	5000	1.86	0.25	1.61	44.7	RIP_affected
NC_063025.1	4500	5500	1.64	0.23	1.41	41.2	RIP_affected
NC_063025.1	5000	6000	1.59	0.17	1.42	38.4	RIP_affected
NC_063025.1	5500	6500	1.71	0.14	1.57	37.1	RIP_affected
NC_063025.1	6000	7000	1.82	0.18	1.63	36.2	RIP_affected
NC_063025.1	6500	7500	1.65	0.46	1.2	41.6	RIP_affected
NC_063025.1	7000	8000	1.21	0.72	0.49	48.1	RIP_affected
NC_063025.1	7500	8500	1.05	0.98	0.08	51.5	RIP_notaffected
NC_063025.1	8000	9000	0.97	1.21	-0.24	51.8	RIP_notaffected
NC_063025.1	8500	9500	0.94	1.31	-0.38	51.6	RIP_notaffected
NC_063025.1	9000	10000	1.03	1.15	-0.12	50.9	RIP_notaffected
NC_063025.1	9500	10500	1.51	0.64	0.87	44.1	RIP_affected
NC_063025.1	10000	11000	1.76	0.48	1.29	45.9	RIP_affected
NC_063025.1	10500	11500	1.46	0.8	0.66	54.2	RIP_notaffected
NC_063025.1	11000	12000	1.19	1.02	0.16	55.5	RIP_notaffected
NC_063025.1	11500	12500	1.23	1.0	0.23	55.7	RIP_notaffected
NC_063025.1	12000	13000	1.47	0.99	0.48	56.8	RIP_notaffected
NC_063025.1	12500	13500	1.24	1.05	0.19	56.6	RIP_notaffected
NC_063025.1	13000	14000	1.16	1.0	0.16	56.0	RIP_notaffected
NC_063025.1	13500	14500	1.32	0.96	0.36	56.9	RIP_notaffected
NC_063025.1	14000	15000	1.19	1.07	0.11	55.0	RIP_notaffected
NC_063025.1	14500	15500	1.07	1.28	-0.22	54.0	RIP_notaffected
NC_063025.1	15000	16000	1.44	0.81	0.63	47.2	RIP_notaffected
NC_063025.1	15500	16500	1.9	0.31	1.6	39.2	RIP_affected
NC_063025.1	16000	17000	2.17	0.17	2.0	40.1	RIP_affected
NC_063025.1	16500	17500	2.22	0.18	2.04	45.8	RIP_affected
NC_063025.1	17000	18000	2.16	0.21	1.95	48.6	RIP_affected
NC_063025.1	17500	18500	2.27	0.2	2.07	43.4	RIP_affected
NC_063025.1	18000	19000	2.29	0.16	2.13	43.1	RIP_affected
NC_063025.1	18500	19500	2.3	0.19	2.11	46.7	RIP_affected
NC_063025.1	19000	20000	2.49	0.28	2.21	47.6	RIP_affected
NC_063025.1	19500	20500	2.46	0.26	2.2	45.4	RIP_affected
NC_063025.1	20000	21000	2.18	0.22	1.96	43.8	RIP_affected
NC_063025.1	20500	21500	1.82	0.32	1.49	44.1	RIP_affected
NC_063025.1	21000	22000	1.92	0.39	1.53	45.1	RIP_affected
NC_063025.1	21500	22500	2.03	0.3	1.73	45.1	RIP_affected
NC_063025.1	22000	23000	1.88	0.19	1.69	38.7	RIP_affected
NC_063025.1	22500	23500	1.84	0.24	1.6	35.0	RIP_affected
NC_063025.1	23000	24000	1.91	0.37	1.54	40.8	RIP_affected
NC_063025.1	23500	24500	1.59	0.68	0.91	47.8	RIP_affected
NC_063025.1	24000	25000	1.21	0.92	0.29	50.0	RIP_notaffected
NC_063025.1	24500	25500	0.97	1.05	-0.08	48.8	RIP_notaffected
NC_063025.1	25000	26000	0.78	1.17	-0.39	52.1	RIP_notaffected
NC_063025.1	25500	26500	0.58	1.25	-0.66	54.9	RIP_notaffected
NC_063025.1	26000	27000	0.47	1.34	-0.87	53.1	RIP_notaffected
NC_063025.1	26500	27500	0.46	1.45	-0.99	54.5	RIP_notaffected
NC_063025.1	27000	28000	0.72	1.26	-0.54	52.5	RIP_notaffected
NC_063025.1	27500	28500	1.58	0.58	1.0	44.6	RIP_affected
NC_063025.1	28000	29000	2.08	0.16	1.92	42.4	RIP_affected
NC_063025.1	28500	29500	2.07	0.11	1.96	45.0	RIP_affected
NC_063025.1	29000	30000	2.06	0.07	2.0	43.2	RIP_affected
NC_063025.1	29500	30500	1.84	0.1	1.74	41.7	RIP_affected
NC_063025.1	30000	31000	1.86	0.08	1.77	41.3	RIP_affected
NC_063025.1	30500	31500	1.99	0.09	1.9	41.9	RIP_affected
NC_063025.1	31000	32000	1.94	0.16	1.78	41.9	RIP_affected
NC_063025.1	31500	32500	2.28	0.17	2.11	44.7	RIP_affected
NC_063025.1	32000	33000	2.6	0.14	2.47	48.0	RIP_affected
NC_063025.1	32500	33500	2.29	0.16	2.13	45.6	RIP_affected
NC_063025.1	33000	34000	2.44	0.2	2.24	45.9	RIP_affected
NC_063025.1	33500	34500	2.43	0.2	2.23	48.0	RIP_affected
NC_063025.1	34000	35000	2.33	0.2	2.13	46.4	RIP_affected
NC_063025.1	34500	35500	2.23	0.19	2.04	44.6	RIP_affected
NC_063025.1	35000	36000	2.1	0.16	1.94	44.4	RIP_affected
NC_063025.1	35500	36500	2.15	0.19	1.96	44.1	RIP_affected
NC_063025.1	36000	37000	2.29	0.31	1.99	43.7	RIP_affected
NC_063025.1	36500	37500	2.0	0.46	1.54	38.4	RIP_affected
NC_063025.1	37000	38000	1.84	0.5	1.33	34.0	RIP_affected
NC_063025.1	37500	38500	1.85	0.47	1.38	34.2	RIP_affected
NC_063025.1	38000	39000	1.81	0.53	1.28	36.8	RIP_affected
NC_063025.1	38500	39500	1.97	0.47	1.5	37.1	RIP_affected
NC_063025.1	39000	40000	2.27	0.35	1.92	35.7	RIP_affected
NC_063025.1	39500	40500	2.0	0.58	1.42	38.1	RIP_affected
NC_063025.1	40000	41000	1.82	0.8	1.02	39.6	RIP_notaffected
NC_063025.1	40500	41500	1.68	0.67	1.01	36.9	RIP_affected
NC_063025.1	41000	42000	1.86	0.32	1.54	38.1	RIP_affected
NC_063025.1	41500	42500	2.0	0.15	1.85	39.3	RIP_affected
NC_063025.1	42000	43000	1.8	0.12	1.69	35.7	RIP_affected
NC_063025.1	42500	43500	1.92	0.19	1.73	40.0	RIP_affected
NC_063025.1	43000	44000	2.32	0.27	2.05	43.2	RIP_affected
NC_063025.1	43500	44500	2.18	0.25	1.93	43.6	RIP_affected
NC_063025.1	44000	45000	2.12	0.21	1.9	45.6	RIP_affected
NC_063025.1	44500	45500	2.34	0.26	2.07	46.1	RIP_affected
NC_063025.1	45000	46000	2.36	0.28	2.07	45.2	RIP_affected
NC_063025.1	45500	46500	2.47	0.2	2.27	45.4	RIP_affected
NC_063025.1	46000	47000	2.63	0.16	2.47	46.4	RIP_affected
NC_063025.1	46500	47500	2.7	0.16	2.54	47.1	RIP_affected
NC_063025.1	47000	48000	2.37	0.19	2.17	46.3	RIP_affected
NC_063025.1	47500	48500	2.44	0.18	2.26	45.5	RIP_affected
NC_063025.1	48000	49000	2.58	0.17	2.41	49.1	RIP_affected
NC_063025.1	48500	49500	2.55	0.13	2.42	48.0	RIP_affected
NC_063025.1	49000	50000	2.64	0.07	2.57	43.7	RIP_affected
NC_063025.1	49500	50500	2.23	0.1	2.13	43.6	RIP_affected
NC_063025.1	50000	51000	2.16	0.18	1.98	45.0	RIP_affected
NC_063025.1	50500	51500	2.31	0.18	2.14	42.5	RIP_affected
NC_063025.1	51000	52000	2.27	0.13	2.14	44.4	RIP_affected
NC_063025.1	51500	52500	2.49	0.14	2.36	47.7	RIP_affected
NC_063025.1	52000	53000	2.33	0.15	2.19	45.5	RIP_affected
NC_063025.1	52500	53500	2.09	0.17	1.92	44.9	RIP_affected
NC_063025.1	53000	54000	2.15	0.14	2.01	45.4	RIP_affected
NC_063025.1	53500	54500	2.07	0.1	1.97	40.9	RIP_affected
NC_063025.1	54000	55000	2.07	0.12	1.95	39.1	RIP_affected
NC_063025.1	54500	55500	2.21	0.1	2.11	38.3	RIP_affected
NC_063025.1	55000	56000	2.02	0.08	1.94	34.7	RIP_affected
NC_063025.1	55500	56500	2.0	0.08	1.92	37.9	RIP_affected
NC_063025.1	56000	57000	2.17	0.09	2.07	39.4	RIP_affected
NC_063025.1	56500	57500	2.12	0.09	2.04	37.2	RIP_affected
NC_063025.1	57000	58000	2.12	0.07	2.06	39.7	RIP_affected
NC_063025.1	57500	58500	2.19	0.07	2.13	42.4	RIP_affected
NC_063025.1	58000	59000	2.06	0.08	1.98	41.4	RIP_affected
NC_063025.1	58500	59500	2.02	0.08	1.94	41.5	RIP_affected
NC_063025.1	59000	60000	1.96	0.09	1.86	36.1	RIP_affected
NC_063025.1	59500	60500	1.88	0.12	1.76	33.6	RIP_affected
NC_063025.1	60000	61000	1.89	0.2	1.68	33.9	RIP_affected
NC_063025.1	60500	61500	1.74	0.25	1.5	32.8	RIP_affected
NC_063025.1	61000	62000	1.75	0.24	1.51	35.2	RIP_affected
NC_063025.1	61500	62500	1.75	0.25	1.5	36.0	RIP_affected
NC_063025.1	62000	63000	1.75	0.21	1.54	37.3	RIP_affected
NC_063025.1	62500	63500	1.74	0.15	1.59	36.1	RIP_affected
NC_063025.1	63000	64000	1.65	0.25	1.4	34.8	RIP_affected
NC_063025.1	63500	64500	1.64	0.31	1.32	36.6	RIP_affected
NC_063025.1	64000	65000	1.64	0.24	1.41	37.6	RIP_affected
NC_063025.1	64500	65500	1.53	0.58	0.95	40.9	RIP_affected
NC_063025.1	65000	66000	1.26	1.08	0.18	49.5	RIP_notaffected
